id,name,name-kr,morning,afternoon,evening,night,tweet,meal,cultural activity,demonstration,trip
1101053,Sajik-dong,사직동,3,24,27,2,4,56,57,20,20
1101054,Samcheong-dong,삼청동,3,2,2,1,41,8,42,6,30
1101055,Buam-dong,부암동,0,0,0,0,60,0,0,0,0
1101056,Pyeongchang-dong,평창동,4,0,1,20,70,25,7,0,0
1101057,Muak-dong,무악동,0,0,0,0,4,0,0,0,0
1101058,Gyonam-dong,교남동,0,0,0,0,1,0,0,0,0
1101060,Gahoe-dong,가회동,1,3,2,4,273,10,5,10,19
1101061,Jongno 1.2.3.4-ga-dong,종로1.2.3.4가동,12,46,43,32,0,133,164,227,141
1101063,Jongno 5.6-ga-dong,종로5.6가동,3,6,2,1,0,12,9,0,9
1101064,Ihwa-dong,이화동,2,5,3,11,98,21,93,3,17
1101067,Changsin-1-dong,창신1동,0,0,0,0,0,0,0,0,0
1101068,Changsin-2-dong,창신2동,0,0,0,0,0,0,0,0,0
1101069,Changsin-3-dong,창신3동,0,0,0,0,0,0,0,0,0
1101070,Sungin-1-dong,숭인1동,0,0,0,0,0,0,0,0,0
1101071,Sungin-2-dong,숭인2동,0,0,0,0,0,0,0,0,0
1101072,CheongunHyoja-dong,청운효자동,2,1,1,0,0,4,3,11,6
1101073,Hyehwa-dong,혜화동,2,7,6,9,41,24,25,0,10
1102052,Sogong-dong,소공동,3,16,6,2,108,27,29,7,30
1102054,Hoehyeon-dong,회현동,2,8,2,1,0,13,6,2,22
1102055,Myeong-dong,명동,25,57,84,74,0,240,311,38,342
1102057,Pil-dong,필동,0,0,0,0,0,0,0,0,0
1102058,Jangchung-dong,장충동,1,4,4,1,0,10,28,0,6
1102059,Gwanghui-dong,광희동,8,6,19,17,0,50,46,2,49
1102060,Euljiro-dong,을지로동,0,0,0,0,0,0,0,0,0
1102065,Sindang-5-dong,신당5동,0,0,0,0,0,0,0,0,0
1102067,Hwanghak-dong,황학동,0,0,0,0,9,0,0,0,0
1102068,Jungnim-dong,중림동,0,0,0,0,18,0,0,0,0
1102069,Sindang-dong,신당동,0,0,0,0,148,0,0,0,0
1102070,Dasan-dong,다산동,0,0,0,0,0,0,0,0,0
1102071,Yaksu-dong,약수동,0,0,0,0,0,0,0,0,0
1102072,Cheonggu-dong,청구동,0,0,0,0,0,0,0,0,0
1102073,,동화동,0,0,0,0,0,0,0,0,0
1103051,Huam-dong,후암동,1,2,7,2,43,12,5,0,1
1103052,,용산2가동,0,1,9,2,0,12,8,1,43
1103053,Namyeong-dong,남영동,3,3,1,0,8,7,2,0,8
1103057,,원효로2동,0,0,0,0,0,0,0,0,0
1103058,Hyochang-dong,효창동,0,0,0,0,33,0,0,0,0
1103059,Yongmun-dong,용문동,0,0,0,0,9,0,0,0,0
1103063,,이촌1동,2,1,1,2,0,6,3,0,8
1103064,,이촌2동,0,0,0,0,0,0,0,0,0
1103065,,이태원1동,4,13,13,9,0,39,16,1,26
1103066,,이태원2동,2,7,6,2,0,17,12,0,7
1103069,Seobinggo-dong,서빙고동,0,1,2,1,23,4,8,0,13
1103070,Bogwang-dong,보광동,0,0,3,3,36,6,3,0,1
1103071,,청파동,0,0,0,0,0,0,0,0,0
1103072,,원효로1동,0,0,0,0,0,0,0,0,0
1103073,,한강로동,3,3,5,1,0,12,8,0,15
1103074,Hannam-dong,한남동,5,17,17,26,547,65,54,1,21
1104052,,왕십리2동,0,0,0,0,0,0,0,0,0
1104054,Majang-dong,마장동,0,0,0,0,16,0,0,0,0
1104055,Sageun-dong,사근동,0,2,2,2,21,6,4,1,7
1104056,,행당1동,1,3,2,2,0,8,9,0,13
1104057,,행당2동,0,0,0,0,0,0,0,0,0
1104058,Eungbong-dong,응봉동,0,0,0,0,11,0,0,0,0
1104059,,금호1가동,0,0,0,0,0,0,0,0,0
1104062,,금호4가동,0,0,0,0,0,0,0,0,0
1104065,,성수1가1동,0,0,0,0,0,0,0,0,0
1104066,,성수1가2동,0,0,0,0,0,0,0,0,0
1104067,,성수2가1동,1,0,2,1,0,4,7,0,3
1104068,,성수2가3동,1,2,3,7,0,13,5,0,10
1104069,Songjeong-dong,송정동,0,0,0,0,3,0,0,0,0
1104070,Yongdap-dong,용답동,0,0,0,0,4,0,0,0,0
1104071,,왕십리도선동,0,0,0,0,0,0,0,0,0
1104072,,금호2.3가동,0,0,0,0,0,0,0,0,0
1104073,Oksu-dong,옥수동,0,3,3,1,32,7,7,0,4
1105053,Hwayang-dong,화양동,0,8,15,7,185,30,15,3,5
1105054,Gunja-dong,군자동,0,2,0,2,69,4,3,0,1
1105055,,중곡1동,0,0,0,0,0,0,0,0,0
1105056,,중곡2동,0,0,0,0,0,0,0,0,0
1105057,,중곡3동,0,0,0,0,0,0,0,0,0
1105058,,중곡4동,0,0,0,0,0,0,0,0,0
1105059,Neung-dong,능동,0,0,0,0,48,0,0,0,0
1105060,,구의1동,0,0,0,0,0,0,0,0,0
1105061,,구의2동,0,0,0,0,0,0,0,0,0
1105062,,구의3동,2,2,0,1,0,5,10,1,8
1105063,Gwangjang-dong,광장동,1,5,2,4,71,12,23,0,2
1105064,,자양1동,0,0,0,0,0,0,0,0,0
1105065,,자양2동,0,0,0,0,0,0,0,0,0
